Phi_ext,I_theory,I_noisy,errors
-0.0002,5.733249321881299e-05,5.7626943754616394e-05,2e-07
-0.0001995991983967936,5.7428817400660565e-05,5.7161743393885977e-05,2e-07
-0.00019919839679358718,5.7534843067353486e-05,5.75612050350549e-05,2e-07
-0.00019879759519038077,5.764892191828702e-05,5.789822174556112e-05,2e-07
-0.00019839679358717437,5.7769278140410025e-05,5.7349287701921364e-05,2e-07
-0.00019799599198396794,5.789403652607045e-05,5.779248479450908e-05,2e-07
-0.00019759519038076154,5.8021252164649126e-05,5.799064657013761e-05,2e-07
-0.0001971943887775551,5.8148941237859835e-05,5.8707115173244035e-05,2e-07
-0.0001967935871743487,5.827511243110291e-05,5.833355895818886e-05,2e-07
-0.0001963927855711423,5.839779846351378e-05,5.8268217506625556e-05,2e-07
-0.00019599198396793587,5.851508723746877e-05,5.8612571003902785e-05,2e-07
-0.00019559118236472947,5.862515211432679e-05,5.874072910322674e-05,2e-07
-0.00019519038076152307,5.87262808370363e-05,5.8587592774492225e-05,2e-07
-0.00019478957915831664,5.8816902641646385e-05,5.8639238992763167e-05,2e-07
-0.00019438877755511023,5.8895613128446625e-05,5.88775873672077e-05,2e-07
-0.00019398797595190383,5.8961196498932455e-05,5.9340109128488985e-05,2e-07
-0.0001935871743486974,5.9012644806496734e-05,5.9151038022834606e-05,2e-07
-0.000193186372745491,5.904917391604165e-05,5.920233171288091e-05,2e-07
-0.00019278557114228457,5.9070235919805645e-05,5.903537273525552e-05,2e-07
-0.00019238476953907816,5.907552781281783e-05,5.926943168773112e-05,2e-07
-0.00019198396793587176,5.906499629061337e-05,5.9098097266044525e-05,2e-07
-0.00019158316633266533,5.9038838593245354e-05,5.9201370976313855e-05,2e-07
-0.00019118236472945893,5.899749938222786e-05,5.8976928117454946e-05,2e-07
-0.00019078156312625253,5.894166369986105e-05,5.903592239472833e-05,2e-07
-0.0001903807615230461,5.887224612241711e-05,5.904880975036335e-05,2e-07
-0.0001899799599198397,5.879037627893669e-05,5.884928860218947e-05,2e-07
-0.00018957915831663326,5.8697380964923674e-05,5.855643528195348e-05,2e-07
-0.00018917835671342686,5.859476313414951e-05,5.8493918257459115e-05,2e-07
-0.00018877755511022046,5.8484178101205304e-05,5.843096826455248e-05,2e-07
-0.00018837675350701403,5.836740733160348e-05,5.849494250476133e-05,2e-07
-0.00018797595190380762,5.8246330234436555e-05,5.824302531108391e-05,2e-07
-0.00018757515030060122,5.81228944042145e-05,5.8329200819710846e-05,2e-07
-0.0001871743486973948,5.7999084783071004e-05,5.805239301478207e-05,2e-07
-0.0001867735470941884,5.787689223161298e-05,5.7722155696178674e-05,2e-07
-0.00018637274549098196,5.7758282006062645e-05,5.7852661260305716e-05,2e-07
-0.00018597194388777556,5.7645162640809425e-05,5.745389687487593e-05,2e-07
-0.00018557114228456915,5.753935572908561e-05,5.749539762004205e-05,2e-07
-0.00018517034068136272,5.7442567080249685e-05,5.755134652418388e-05,2e-07
-0.00018476953907815632,5.735635971036321e-05,5.724925011987855e-05,2e-07
-0.00018436873747494992,5.728212909373456e-05,5.722090920931026e-05,2e-07
-0.0001839679358717435,5.7221081067272734e-05,5.724238584555388e-05,2e-07
-0.00018356713426853708,5.717421273752593e-05,5.715907165473762e-05,2e-07
-0.00018316633266533068,5.714229669270985e-05,5.72945338991681e-05,2e-07
-0.00018276553106212425,5.712586876971042e-05,5.730702887948814e-05,2e-07
-0.00018236472945891785,5.7125219569758696e-05,5.704751481496472e-05,2e-07
-0.00018196392785571142,5.7140389857112134e-05,5.693191336450083e-05,2e-07
-0.00018156312625250502,5.7171169913602237e-05,5.735518771593333e-05,2e-07
-0.0001811623246492986,5.721710285926761e-05,5.7184425199686346e-05,2e-07
-0.00018076152304609218,5.727749188649279e-05,5.713373142983657e-05,2e-07
-0.00018036072144288578,5.735141129311122e-05,5.7133791509005836e-05,2e-07
-0.00017995991983967938,5.74377211397751e-05,5.716967710972887e-05,2e-07
-0.00017955911823647295,5.753508529951055e-05,5.795464965480507e-05,2e-07
-0.00017915831663326654,5.7641992613667496e-05,5.789634878135737e-05,2e-07
-0.00017875751503006014,5.775678081928011e-05,5.802929363635596e-05,2e-07
-0.0001783567134268537,5.7877662868984015e-05,5.7996715697081947e-05,2e-07
-0.0001779559118236473,5.8002755226741386e-05,5.8004300826014255e-05,2e-07
-0.00017755511022044088,5.813010769134677e-05,5.789502213101303e-05,2e-07
-0.00017715430861723447,5.825773427549728e-05,5.845515010466116e-05,2e-07
-0.00017675350701402807,5.8383644651487634e-05,5.8338377545717416e-05,2e-07
-0.00017635270541082164,5.850587566563466e-05,5.859829912355951e-05,2e-07
-0.00017595190380761524,5.8622522422432e-05,5.861972752509299e-05,2e-07
-0.00017555110220440884,5.873176844625725e-05,5.886971827475169e-05,2e-07
-0.0001751503006012024,5.8831914443059726e-05,5.85676971844679e-05,2e-07
-0.000174749498997996,5.8921405206616125e-05,5.905397715685848e-05,2e-07
-0.0001743486973947896,5.8998854243334605e-05,5.9065180004313346e-05,2e-07
-0.00017394789579158317,5.906306572569676e-05,5.880224880164235e-05,2e-07
